	Pāli Root	Grp	Root Meaning	Family
0	√acc	1	shine, praise	√acc
1	√acc	8	worship	√acc
2	√ad	1	eat	√ad
3	√add	8	afflict	√add
4	√agg	1	move crookedly	√agg
5	√aggh	1	be worth	√aggh
6	√ah	1	speak	√ah
7	√aj	1	go, drive	pa √aj
8	√aj	1	go, drive	saṃ √aj
9	√aj	1	go, drive	√aj
10	√akkh	1	see	pati √akkh
11	√akkh	1	see	√akkh
12	√an	1	breath, blow	apa √an
13	√an	1	breath, blow	pa √an
14	√an	1	breath, blow	pati √an
15	√an	1	breath, blow	ud √an
16	√an	1	breath, blow	vi pati √an
17	√an	1	breath, blow	√an
18	√ap	4	reach, attain	adhi ā pa √ap
19	√ap	4	reach, attain	anu pa √ap
20	√ap	4	reach, attain	pa √ap
21	√ap	4	reach, attain	pari ā √ap
22	√ap	4	reach, attain	pari √ap
23	√ap	4	reach, attain	saṃ pa √ap
24	√ap	4	reach, attain	saṃ √ap
25	√ap	4	reach, attain	√ap
26	√ar	1	move, attain	ati √ar
27	√ar	1	move, attain	saṃ √ar
28	√ar	1	move, attain	ud √ar
29	√ar	1	move, attain	vi √ar
30	√ar	1	move, attain	ā √ar
31	√ar	1	move, attain	√ar
32	√arah	1	deserve, be worthy	√arah
33	√as	1	be	vi √as
34	√as	1	be	√as
35	√as	1	eat	√as
36	√as	3	throw, hurl	abhi √as
37	√as	3	throw, hurl	apa √as
38	√as	3	throw, hurl	nī √as
39	√as	3	throw, hurl	pa √as
40	√as	3	throw, hurl	pari √as
41	√as	3	throw, hurl	saṃ √as
42	√as	3	throw, hurl	upa √as
43	√as	3	throw, hurl	vi pari √as
44	√as	3	throw, hurl	√as
45	√as	5	eat	√as
46	√atth	8	wish for	abhi pa √atth
47	√atth	8	wish for	pa √atth
48	√atth	8	wish for	√atth
49	√añc	1	bend	pari √añc
50	√añc	1	bend	√añc
51	√añch	1	extend, draw along	saṃ √añch
52	√añch	1	extend, draw along	ā vi √añch
53	√añch	1	extend, draw along	√añch
54	√añj	1	pay respect	pa √añj
55	√añj	1	pay respect	√añj
56	√añj	1	smear, anoint	abhi √añj
57	√añj	1	smear, anoint	pati √añj
58	√añj	1	smear, anoint	√añj
59	√añj	8	distinguish	anu vi √añj
60	√añj	8	distinguish	saṃ √añj
61	√añj	8	distinguish	vi √añj
62	√añj	8	distinguish	√añj
63	√aḍḍ	1	judge	√aḍḍ
64	√aṃs	8	divide, distribute	pati √aṃs
65	√aṃs	8	divide, distribute	√aṃs
66	√aṅg	1	walk	√aṅg
67	√aṇ	1	recite	√aṇ
68	√badh	1	bind, tie	anu √badh
69	√badh	1	bind, tie	ni √badh
70	√badh	1	bind, tie	pa √badh
71	√badh	1	bind, tie	pati √badh
72	√badh	1	bind, tie	saṃ √badh
73	√badh	1	bind, tie	upa ni √badh
74	√badh	1	bind, tie	vi ni √badh
75	√badh	1	bind, tie	ā √badh
76	√badh	1	bind, tie	√badh
77	√bah	1	increase	ati √bah
78	√bah	1	increase	√bah
79	√bal	1	be strong, live	pati √bal
80	√bal	1	be strong, live	√bal
81	√bandh	1	bind, tie	anu √bandh
82	√bandh	1	bind, tie	ni √bandh
83	√bandh	1	bind, tie	pati √bandh
84	√bandh	1	bind, tie	saṃ √bandh
85	√bandh	1	bind, tie	ud √bandh
86	√bandh	1	bind, tie	upa ni √bandh
87	√bandh	1	bind, tie	vi ni √bandh
88	√bandh	1	bind, tie	ā √bandh
89	√bandh	1	bind, tie	√bandh
90	√bhad	1	be good, lucky	√bhad
91	√bhaj	1	associate, keep company	saṃ √bhaj
92	√bhaj	1	associate, keep company	√bhaj
93	√bhaj	1	divide, distribute	pati vi √bhaj
94	√bhaj	1	divide, distribute	pati √bhaj
95	√bhaj	1	divide, distribute	saṃ vi √bhaj
96	√bhaj	1	divide, distribute	vi √bhaj
97	√bhaj	1	divide, distribute	√bhaj
98	√bhajj	1	cook	√bhajj
99	√bhakkh	1	eat	√bhakkh
100	√bham	1	turn, revolve, buzz	pari √bham
101	√bham	1	turn, revolve, buzz	saṃ √bham
102	√bham	1	turn, revolve, buzz	vi √bham
103	√bham	1	turn, revolve, buzz	√bham
104	√bhar	1	carry, support	pa √bhar
105	√bhar	1	carry, support	saṃ √bhar
106	√bhar	1	carry, support	ā √bhar
107	√bhar	1	carry, support	√bhar
108	√bhas	1	make ashes	√bhas
109	√bhas	3	fall down	√bhas
110	√bhañj	1	break, destroy	ava √bhañj
111	√bhañj	1	break, destroy	pa √bhañj
112	√bhañj	1	break, destroy	saṃ √bhañj
113	√bhañj	1	break, destroy	vi ā √bhañj
114	√bhañj	1	break, destroy	vi √bhañj
115	√bhañj	1	break, destroy	ā √bhañj
116	√bhañj	1	break, destroy	√bhañj
117	√bhaṇ	1	talk, speak	pati √bhaṇ
118	√bhaṇ	1	talk, speak	√bhaṇ
119	√bhaṇḍ	1	blame, accuse	pati √bhaṇḍ
120	√bhaṇḍ	1	blame, accuse	√bhaṇḍ
121	√bhid	2	break, split	abhi nī √bhid
122	√bhid	2	break, split	pa √bhid
123	√bhid	2	break, split	pari √bhid
124	√bhid	2	break, split	pati saṃ √bhid
125	√bhid	2	break, split	saṃ √bhid
126	√bhid	2	break, split	ud √bhid
127	√bhid	2	break, split	vi pari √bhid
128	√bhid	2	break, split	vi √bhid
129	√bhid	2	break, split	√bhid
130	√bhikkh	1	beg	√bhikkh
131	√bhis	2	fear	vi √bhis
132	√bhis	2	fear	√bhis
133	√bhuj	1	bend	vi nī √bhuj
134	√bhuj	1	bend	ā √bhuj
135	√bhuj	1	bend	√bhuj
136	√bhuj	2	eat, enjoy	pari √bhuj
137	√bhuj	2	eat, enjoy	pati √bhuj
138	√bhuj	2	eat, enjoy	saṃ √bhuj
139	√bhuj	2	eat, enjoy	upa √bhuj
140	√bhuj	2	eat, enjoy	√bhuj
141	√bhus	3	fall heavily	√bhus
142	√bhuss	1	bark	√bhuss
143	√bhā	1	shine, speak	ni √bhā
144	√bhā	1	shine, speak	pa √bhā
145	√bhā	1	shine, speak	pati √bhā
146	√bhā	1	shine, speak	saṃ ni √bhā
147	√bhā	1	shine, speak	vi √bhā
148	√bhā	1	shine, speak	ā √bhā
149	√bhā	1	shine, speak	√bhā
150	√bhās	1	shine	ava √bhās
151	√bhās	1	shine	ni √bhās
152	√bhās	1	shine	pa √bhās
153	√bhās	1	shine	vi √bhās
154	√bhās	1	shine	ā √bhās
155	√bhās	1	shine	√bhās
156	√bhās	1	speak	adhi ā √bhās
157	√bhās	1	speak	ava √bhās
158	√bhās	1	speak	pari √bhās
159	√bhās	1	speak	pati √bhās
160	√bhās	1	speak	saṃ anu √bhās
161	√bhās	1	speak	saṃ √bhās
162	√bhās	1	speak	√bhās
163	√bhī	1	fear	pati √bhī
164	√bhī	1	fear	saṃ √bhī
165	√bhī	1	fear	√bhī
166	√bhū	1	be	abhi saṃ √bhū
167	√bhū	1	be	abhi √bhū
168	√bhū	1	be	adhi √bhū
169	√bhū	1	be	anu √bhū
170	√bhū	1	be	ati √bhū
171	√bhū	1	be	pa √bhū
172	√bhū	1	be	pari √bhū
173	√bhū	1	be	parā √bhū
174	√bhū	1	be	pati anu √bhū
175	√bhū	1	be	puna √bhū
176	√bhū	1	be	pātu √bhū
177	√bhū	1	be	saṃ √bhū
178	√bhū	1	be	vi √bhū
179	√bhū	1	be	āvi √bhū
180	√bhū	1	be	√bhū
181	√bhūs	1	adorn, decorate	vi √bhūs
182	√bhūs	1	adorn, decorate	√bhūs
183	√bil	1	break, chop	ā √bil
184	√bil	1	break, chop	√bil
185	√brah	1	increase	√brah
186	√brū	1	say	pa √brū
187	√brū	1	say	√brū
188	√brūh	1	increase	anu √brūh
189	√brūh	1	increase	upa √brūh
190	√brūh	1	increase	√brūh
191	√budh	3	know, wake up	abhi saṃ √budh
192	√budh	3	know, wake up	anu √budh
193	√budh	3	know, wake up	apa √budh
194	√budh	3	know, wake up	ava √budh
195	√budh	3	know, wake up	pa √budh
196	√budh	3	know, wake up	pati √budh
197	√budh	3	know, wake up	saṃ √budh
198	√budh	3	know, wake up	√budh
199	√buh	1	pluck out, uproot	ā √buh
200	√bādh	1	press, oppress	ati saṃ √bādh
201	√bādh	1	press, oppress	saṃ √bādh
202	√bādh	1	press, oppress	vi ā √bādh
203	√bādh	1	press, oppress	vi √bādh
204	√bādh	1	press, oppress	ā √bādh
205	√bādh	1	press, oppress	√bādh
206	√caj	1	give up, let go	pari √caj
207	√caj	1	give up, let go	√caj
208	√cakkh	1	see	apa √cakkh
209	√cakkh	1	see	vi √cakkh
210	√cakkh	1	see	√cakkh
211	√cal	1	shake, tremble	pa √cal
212	√cal	1	shake, tremble	saṃ pa √cal
213	√cal	1	shake, tremble	saṃ √cal
214	√cal	1	shake, tremble	√cal
215	√cam	8	wash, rinse	ā √cam
216	√cand	1	glow, be bright	√cand
217	√car	1	act, behave	abhi saṃ ā √car
218	√car	1	act, behave	abhi √car
219	√car	1	act, behave	adhi ā √car
220	√car	1	act, behave	adhi √car
221	√car	1	act, behave	anu √car
222	√car	1	act, behave	ati √car
223	√car	1	act, behave	ava √car
224	√car	1	act, behave	pa √car
225	√car	1	act, behave	saṃ ud ā √car
226	√car	1	act, behave	saṃ ā √car
227	√car	1	act, behave	vi abhi √car
228	√car	1	act, behave	ā √car
229	√car	1	act, behave	√car
230	√car	1	move, walk	anu saṃ √car
231	√car	1	move, walk	anu vi √car
232	√car	1	move, walk	anu √car
233	√car	1	move, walk	ava √car
234	√car	1	move, walk	nī √car
235	√car	1	move, walk	pa vi √car
236	√car	1	move, walk	pari √car
237	√car	1	move, walk	pati √car
238	√car	1	move, walk	saṃ ud ā √car
239	√car	1	move, walk	saṃ √car
240	√car	1	move, walk	ud √car
241	√car	1	move, walk	upa vi √car
242	√car	1	move, walk	upa √car
243	√car	1	move, walk	vi √car
244	√car	1	move, walk	ā √car
245	√car	1	move, walk	√car
246	√caṇḍ	1	be fierce, violent	√caṇḍ
247	√chad	8	cover, conceal	abhi √chad
